Date,Client_Future Index Long,Client_Future Index Short,Client_Option Index Call Long,Client_Option Index Put Long,Client_Option Index Call Short,Client_Option Index Put Short,DII_Future Index Long,DII_Future Index Short,DII_Option Index Call Long,DII_Option Index Put Long,DII_Option Index Call Short,DII_Option Index Put Short,FII_Future Index Long,FII_Future Index Short,FII_Option Index Call Long,FII_Option Index Put Long,FII_Option Index Call Short,FII_Option Index Put Short,Total Call Options - Open Interest BANK NIFTY INDEX,Total Put Options - Open Interest BANK NIFTY INDEX,Total Futures - Open Interest BANK NIFTY INDEX,Price - BANK NIFTY INDEX,Returns - BANK NIFTY INDEX,NSE VIX - India,is_expiry,Total_OI
9/6/2024,355215,371888,8843623,5103540,8733885,6255168,96394,173189,2078,592068,0,0,356479,194371,1871924,1941685,1610732,1499161,3979477,4270211,169464,51689.1,0.004839596,13.8425,0,48627982
9/9/2024,330432,360862,8486723,6600471,8908461,7639324,91725,158415,2078,599842,0,0,355666,199631,1904728,1980725,1368171,1370300,7141022,6398719,174032,51400.25,-0.005603891,14.3775,0,50309468
9/10/2024,315250,356814,7879794,6852458,8363423,7859885,91725,157428,2078,614842,0,0,357004,199260,1873804,2048112,1352651,1443040,2722020,2283343,171397,51473.05,0.001415333,14.2075,0,49442208
9/11/2024,323417,363952,7607064,5202819,7851524,6442919,89377,157428,2078,604842,0,0,354524,203066,1714545,1906489,1282117,1362419,5018862,3033203,188008,50576.85,-0.017564408,15.2175,0,44541910
9/12/2024,302760,393619,4095406,5162425,4798248,5960465,88321,165628,2078,615842,0,0,402674,211867,1180611,1616873,707234,1195805,4389998,3840929,176955,51117.8,0.010638811,14.2375,0,34800914
9/13/2024,300885,405206,5935885,6733103,6342579,7461647,102582,163636,2078,624592,0,0,405213,195902,1441531,1939766,1039295,1508079,4890033,4408241,175154,51272.3,0.003017872,13.36,0,42830850
9/16/2024,288036,403576,6917761,7631412,7215632,8159595,102244,158612,2078,629592,0,0,406141,192689,1413387,1831532,1114315,1555787,7167516,5664543,184311,51010,-0.005128953,13.6275,0,47186220
9/17/2024,269274,407075,6980448,7701412,7237212,8204984,103965,158212,2078,629592,0,0,412734,192482,1382115,1897341,1125754,1664021,2292110,2648328,166023,51772.4,0.014835497,13.1825,0,47482280
9/18/2024,237848,390171,6174665,5785058,6466574,6593745,105565,157892,2078,626492,0,0,433451,195964,1566606,1978878,1208891,1622401,2730481,3085530,171080,51938.05,0.003194473,12.55,0,42331850
9/19/2024,254543,397417,5118880,4802258,5612837,5794705,106353,157892,2078,626492,0,0,426551,203090,1440858,1746916,941013,1254156,3144081,3657074,165848,52153.15,0.00413292,12.46,0,36608434
9/20/2024,248293,499342,5318133,7411174,6350833,8263880,108034,157892,2078,626492,0,0,525502,166440,1868651,2545703,1047720,1834788,3890068,4234723,163525,52188.65,0.000680456,12.59,1,46194476
9/23/2024,255021,510163,6878535,9226782,7689605,9709277,108002,153582,2078,488516,0,0,538431,178626,2085685,2819999,1203186,2057301,6336172,7031967,161390,52750.4,0.010706317,13.3725,0,54293740
9/24/2024,272125,514371,7636354,9041265,8167052,9469256,107949,153582,2078,384551,0,0,548313,209755,2165604,2811555,1397622,2139894,2789886,2593288,166775,53037.6,0.005429741,12.47,0,54777720
9/25/2024,259328,492037,6181437,7395628,7017067,7987438,108133,155082,2078,292540,0,0,523481,171430,1849223,2612220,1104203,1945540,2713399,3624697,175377,53793.2,0.014145969,12.79,0,46585964
9/26/2024,263030,500031,4103265,5084598,4759722,5443137,100107,154732,2078,197993,0,0,449102,113055,1252753,1552760,763169,1246195,3392598,4539369,182663,54105.8,0.005794324,13.785,0,32818064
9/27/2024,265727,515298,6855267,6083368,7495979,6775678,100190,154732,2078,197993,0,0,467414,106367,1955972,2148632,1134071,1531833,4478256,5056668,191158,53968.6,-0.002538993,13.3925,0,44567624
9/30/2024,261530,453932,9440283,5928276,9522711,6611414,100326,156842,2078,182993,0,0,443666,105239,2397827,2378254,1739058,1845479,6515969,6565930,200998,54101.65,0.002462289,12.7425,0,52476618
10/1/2024,268540,444941,7495096,5209887,7937737,5995144,100392,160691,2078,182993,0,0,429647,111510,1900926,2121100,1269330,1532343,2279815,2407637,141732,54375.35,0.005046242,12.0025,0,42948340
10/3/2024,331320,371655,6023609,3943992,6166641,4792508,99692,166404,2078,170187,0,0,331756,168901,1499927,1555236,1051125,1040980,3852052,2853860,140815,53834.3,-0.010000116,11.9625,0,35531732
10/4/2024,381416,350097,9169589,4674832,9629733,5904155,98432,175873,2078,167418,0,0,304662,221675,2329790,2036459,1598613,1216258,5459374,3445490,136449,52978.1,-0.01603219,12.7875,0,47463670
10/7/2024,440566,325416,10127231,5122045,10256686,6306012,99853,186163,2078,152418,0,0,259401,294125,2596228,2158670,1899557,1269129,6753567,4807364,147326,52922.6,-0.001048152,11.9875,0,51331376
10/8/2024,451000,314163,9725623,6056450,10045635,7139245,113665,183924,2078,162418,0,0,245042,320037,2569151,2318230,1743893,1264031,3191620,2228310,183159,51845.2,-0.020568113,13.17,0,52192078
10/9/2024,479181,309609,8676407,5402498,8968359,6511458,117861,183655,2078,164418,0,0,214566,343275,2086362,2084230,1421265,1177635,4215030,2503457,196205,51462.05,-0.007417713,14.1275,0,47116496
10/10/2024,495934,313990,5491121,4433470,5625910,5213921,118274,183655,2078,164418,0,0,190809,346255,1360568,1643475,1069005,1218863,4923307,2747300,232287,50478.9,-0.019289216,15.08,0,35254304
10/11/2024,502780,314259,7321851,5098996,7557788,5986430,117837,183730,2078,164418,0,0,190569,340866,1838399,1753651,1365295,1165777,5291569,3698920,227157,51021,0.010681885,14.5875,0,42240220
10/14/2024,490913,300389,7365504,6546621,7719042,7196728,116664,183714,2078,164418,0,0,183529,333716,1926728,1791370,1424952,1244668,7362418,5839305,244914,51007,-0.000274434,14.1225,0,45755676
10/15/2024,500275,306840,8524790,6428777,8745513,7199688,115427,184380,2078,160418,0,0,178874,336543,2058114,1773561,1576594,1191189,2513958,2610498,237096,51530.9,0.01021875,13.495,0,48633010
10/16/2024,511367,310802,8029339,5197140,8351678,6342845,113267,184521,2078,160418,0,0,170276,338380,1916029,1922808,1261969,1021036,3582893,2547610,241073,51172.3,-0.006983258,13.22,0,44473642
10/17/2024,528833,315055,6211279,3944928,6261611,4995608,113667,184743,2078,176418,0,0,164379,334199,1414100,1579638,1076595,910936,3573471,3572337,225940,51816.9,0.012517981,12.995,0,35878850
10/18/2024,510454,292809,6411606,5919575,6829540,6581390,113452,183476,2078,176418,0,0,165441,327449,1773823,1983391,1331138,1444350,4358096,3989540,227122,51906,0.00171804,13.0025,0,42623590
10/21/2024,507617,276723,8695677,6190668,8651619,7008765,114025,184449,2078,176918,0,0,162044,329758,1902736,2078384,1552658,1463892,6476913,6216507,226564,51801.05,-0.002023971,13.0525,0,48578742
10/22/2024,512408,292355,9805904,5418227,9585169,6404324,115402,181080,2078,172014,0,0,156307,327123,2094584,1998733,1796783,1361162,2982251,2184717,234882,51288.8,-0.009938015,13.3875,0,50075602
10/23/2024,508875,288721,7997188,5442423,8132371,6378445,122433,181110,2078,172014,0,0,159701,329636,1848703,2038762,1396138,1302175,2740039,3297497,208535,52094.2,0.015581213,13.0375,0,44858194
10/24/2024,512833,281309,5361109,4491731,5586712,5283655,122283,180947,2078,172034,0,0,170416,317647,1594624,1883261,1241345,1320711,3940460,3424614,207156,51962.7,-0.002527465,13.7625,0,35498386
10/25/2024,513557,266942,7770194,5011584,7875407,5938336,122613,177190,2078,173582,0,0,178849,308326,2166803,2414928,1830661,1704354,5478107,3216262,216506,51257.15,-0.013671033,14.395,0,44949462
10/28/2024,468401,244489,7982791,6326589,8385355,7168042,122536,180142,2078,171657,0,0,192641,286433,2376170,2494866,1730736,1599301,6668969,5819819,211582,51239,-0.00035416,14.6225,0,48702750
